segment	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click	sonority	tone_contour	tone_high	tone_central	tone_mid	tone_rising	tone_falling	tone_convex
p	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
b	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
t	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
d	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ʈ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɖ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ȶ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
c	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɟ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
k	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɡ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
q	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ɢ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ʡ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	-	+	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ʔ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	+	-	-	-	-	1	0	0	0	0	0	0	0
ɓ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	+	-	2	0	0	0	0	0	0	0
ɗ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	+	-	2	0	0	0	0	0	0	0
ᶑ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	+	-	2	0	0	0	0	0	0	0
ʄ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	+	-	2	0	0	0	0	0	0	0
ɠ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	+	-	2	0	0	0	0	0	0	0
ʦ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ʣ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ʧ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ʤ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
ʨ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
ʥ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	2	0	0	0	0	0	0	0
m	0	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ɱ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
n	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ɳ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ȵ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ɲ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ŋ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ɴ	0	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	-	6	0	0	0	0	0	0	0
ɸ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
β	0	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
f	0	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
v	0	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
θ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ð	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
s	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
z	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ɕ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	+	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʑ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	+	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ʃ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʒ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ʆ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʓ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ʂ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʐ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ç	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʝ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
x	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ɣ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
χ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʁ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ħ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʕ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
h	0	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-	5	0	0	0	0	0	0	0
ɦ	0	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	+	-	+	-	-	-	-	-	4	0	0	0	0	0	0	0
ɬ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ɮ	0	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	4	0	0	0	0	0	0	0
ɧ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	+	+	-	-	-	0	0	0	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0	0
ʍ	0	-	-	-	-	-	-	+	+	-	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	0	0	-	-	+	-	-	-	-	-	11	0	0	0	0	0	0	0
ʙ	0	-	-	-	-	+	+	+	0	+	-	+	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	7	0	0	0	0	0	0	0
ⱱ	0	-	-	-	-	+	+	+	0	+	+	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	8	0	0	0	0	0	0	0
r	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	7	0	0	0	0	0	0	0
ʋ	0	-	-	-	-	-	+	+	0	+	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	10	0	0	0	0	0	0	0
ɾ	0	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	8	0	0	0	0	0	0	0
ᴅ	0	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	8	0	0	0	0	0	0	0
ɹ	0	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	-	+	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	10	0	0	0	0	0	0	0
ɽ	0	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	8	0	0	0	0	0	0	0
ɻ	0	-	-	-	-	+	+	+	0	+	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	10	0	0	0	0	0	0	0
ɺ	0	-	-	-	-	+	+	+	0	+	+	-	-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
ʀ	0	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	-	7	0	0	0	0	0	0	0
j	0	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	0	0	+	-	-	-	-	-	-	-	11	0	0	0	0	0	0	0
ɥ	0	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	+	0	0	+	-	-	-	-	-	-	-	11	0	0	0	0	0	0	0
ɰ	0	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	0	0	+	-	-	-	-	-	-	-	11	0	0	0	0	0	0	0
l	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
ȴ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
ɭ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
ʎ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
ʟ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
ɫ	0	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	+	-	-	-	+	0	0	0	+	-	-	-	-	-	-	-	9	0	0	0	0	0	0	0
w	0	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	0	0	+	-	-	-	-	-	-	-	11	0	0	0	0	0	0	0
i	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
y	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
ɨ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	-	-	0	12	0	0	0	0	0	0	0
ʉ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
ɯ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
u	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
ɪ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
ʏ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
ʊ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	-	-	0	14	0	0	0	0	0	0	0
e	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ø	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɘ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	+	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɵ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	-	+	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɤ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
o	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ə	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0	13	0	0	0	0	0	0	0
ɛ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
œ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɜ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɝ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	0	+	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɞ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ʌ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
ɔ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
æ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	-	-	0	16	0	0	0	0	0	0	0
ɐ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0	16	0	0	0	0	0	0	0
a	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0	16	0	0	0	0	0	0	0
ɑ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	-	-	0	16	0	0	0	0	0	0	0
ɒ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	-	-	0	16	0	0	0	0	0	0	0
ɚ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	-	-	-	-	-	-	+	-	-	-	0	-	-	0	15	0	0	0	0	0	0	0
R	0	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	10	0	0	0	0	0	0	0
˩	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-
˨	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	+	-	-	-	-
˧	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	+	+	-	-	-
˦	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	+	-	-	-	-
˥	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	-	-	-	-	-
⁰	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-
¹	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-
²	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	+	-	-	-	-
³	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	+	+	-	-	-
⁴	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	+	-	-	-	-
⁵	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	-	-	-	-	-
↓	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-
ʜ	0	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	-	+	+	-	-	-	-	-	7	0	0	0	0	0	0	0
ʢ	0	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	+	+	+	-	-	-	-	-	7	0	0	0	0	0	0	0
ƥ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	+	-	1	0	0	0	0	0	0	0
ƭ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	+	-	1	0	0	0	0	0	0	0
ƈ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	0	0	-	-	-	-	-	-	+	-	1	0	0	0	0	0	0	0
ƙ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	0	0	-	-	-	-	-	-	+	-	1	0	0	0	0	0	0	0
ʠ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	-	-	+	-	-	-	+	-	1	0	0	0	0	0	0	0
ʛ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	0	0	+	-	+	-	-	-	+	-	2	0	0	0	0	0	0	0
ʘ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	+	1	0	0	0	0	0	0	0
ǀ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	+	1	0	0	0	0	0	0	0
ǁ	0	-	-	-	-	+	-	-	-	-	-	-	-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	+	1	0	0	0	0	0	0	0
ǃ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	+	1	0	0	0	0	0	0	0
ǂ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	+	1	0	0	0	0	0	0	0
‼	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	+	1	0	0	0	0	0	0	0
ɶ	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0	16	0	0	0	0	0	0	0